r002,r003,r004,r005,r006,label
8000082,306921,5970,25,3787,maligne
7383601,1833778,50503,356,13395,maligne
8337278,3800734,54646,46,83109,maligne
8582005,4195395,55228,47,69431,maligne
8376213,8671063,95097,49,115558,maligne
9005973,8737383,88767,46,147067,maligne
8662295,9488484,87590,48,148100,maligne
8425841,9241012,87234,46,151282,maligne
8627249,9310576,93567,48,153845,maligne
8607594,9720161,86009,46,147885,maligne
8403085,10106491,89230,43,147578,maligne
8642041,9915326,86249,47,146807,maligne
8651210,10212749,89927,40,149041,maligne
8434813,10175302,89965,47,147041,maligne
8234833,10221834,93278,48,153144,maligne
8163986,10129316,90366,43,147834,maligne
8247137,10255229,87348,48,146811,maligne
8596542,10336712,87903,47,147112,maligne
9074987,10141180,85227,45,146437,maligne
9094904,10377707,86927,44,149368,maligne
9258691,10653321,92296,45,148291,maligne
9309322,10194692,86142,44,148637,maligne
8999746,10335350,91890,45,152176,maligne
9070069,10227058,88904,68,149946,maligne
9026971,10484825,90382,45,147998,maligne
12530030,10302626,83315,45,151009,maligne
9206185,10180363,87436,44,150356,maligne
15121831,10466191,89936,41,149582,maligne
10755781,10318608,88970,46,149378,maligne
9081924,10447567,91111,45,151297,maligne
8995373,10275860,89614,47,149775,maligne
9290997,10744404,90503,45,150438,maligne
9114225,10271148,88683,44,150112,maligne
9023295,10170636,88329,50,148970,maligne
9204222,10348294,96095,44,146095,maligne
9254849,10189260,90354,44,150928,maligne
9058069,10461624,89260,45,150022,maligne
9212535,10617181,87511,47,150027,maligne
9203011,10400618,88305,47,150073,maligne
9127527,10455404,87211,44,149542,maligne
9673946,10265741,83106,46,148495,maligne
9267578,10281875,85652,45,151351,maligne
9211791,10329607,81398,45,151353,maligne
9260828,10241256,86127,45,149196,maligne
9205231,10431410,84178,46,147504,maligne
9251327,10269979,92345,45,147344,maligne
9392177,10360685,86501,43,149129,maligne
9575887,10273007,85147,47,151252,maligne
9267109,10639930,87634,41,149928,maligne
9145891,10370877,87454,45,149675,maligne
9223410,10298404,86806,45,149531,maligne
9180390,10358859,84422,45,151917,maligne
9266523,10294460,89113,44,148899,maligne
9667323,10473296,89988,43,145996,maligne
9310900,10800161,83927,70,148066,maligne
9254123,10220394,87177,45,150768,maligne
9183216,10317719,87030,43,149980,maligne
9183223,10226718,91322,43,149074,maligne
9150385,10344528,84040,42,148986,maligne
9029573,9676211,87632,43,147001,maligne
9210225,10217195,89944,68,149190,maligne
9376334,10388160,86191,44,148748,maligne
9336364,10187369,89694,45,150021,maligne
9270670,10308164,86361,46,146432,maligne
9131845,10281401,98190,45,147996,maligne
9278039,10266555,93307,44,148153,maligne
9135289,9562821,87082,44,148126,maligne
9308804,10182640,88330,43,149311,maligne
9147457,10390584,92131,44,151523,maligne
9034059,10285986,87125,45,151650,maligne
9189561,10459587,91194,42,149970,maligne
9354023,10072193,83656,47,152108,maligne
9287594,9919931,94053,42,148418,maligne
9222202,9739802,86452,48,145539,maligne
9240744,10160456,84693,43,150813,maligne
9272965,10239325,91488,46,149550,maligne
9246434,10175504,85726,49,145840,maligne
9206292,10340825,90689,46,150300,maligne
9203044,10101686,87197,47,149873,maligne
9210722,9770902,89931,44,150290,maligne
9061014,9689773,91263,45,149766,maligne
9883382,10065144,83799,46,153424,maligne
9109719,10341245,88211,45,147951,maligne
9084660,10276487,85926,46,149883,maligne
9177613,10450728,89007,51,149682,maligne
9388522,10215280,88773,45,149856,maligne
9004179,10213174,88511,49,148890,maligne
9243776,9743763,90432,46,150136,maligne
9098301,10065927,85041,42,151220,maligne
9102511,10415141,87515,67,150752,maligne
9149248,10215050,85566,46,151007,maligne
9083971,10525381,86609,45,150146,maligne
9112729,10262786,91688,43,144742,maligne
9156621,10169797,88247,44,147825,maligne
9148033,10312785,90008,47,148297,maligne
9115964,10233373,88229,47,151211,maligne
9182207,10623782,86946,46,151115,maligne
9098567,10268834,91557,44,148413,maligne
9308041,10119062,88045,47,145759,maligne
9117205,10370546,88608,45,147335,maligne
9119291,10242331,85731,43,150194,maligne
9275866,10400081,92049,44,148587,maligne
9159180,9491896,85886,41,146147,maligne
9128009,10062059,90394,46,148760,maligne
9150926,10269969,87325,41,147474,maligne
9428147,10300501,85300,44,148437,maligne
9358260,9771104,88176,48,148722,maligne
9355371,10058507,81608,44,151516,maligne
9325640,10194052,84871,47,150142,maligne
9233641,9658719,82841,46,151814,maligne
9351987,10135146,89319,46,148925,maligne
9317909,10252929,91343,45,151722,maligne
9312853,10192428,87424,44,146276,maligne
9164525,10137155,88116,46,150494,maligne
9134448,10210453,87645,47,148690,maligne
