combo,benigne,maligne,maligno_ratio
"(2, 1, 4, 3, 3)",0,4111,1.0
"(2, 2, 4, 4, 4)",62,2285,0.9735832978270132
"(1, 2, 1, 1, 1)",0,1680,1.0
"(2, 1, 4, 4, 3)",245,1571,0.8650881057268722
"(2, 4, 2, 3, 2)",0,1499,1.0
"(3, 4, 3, 4, 3)",25,1070,0.9771689497716894
"(1, 1, 4, 1, 1)",0,918,1.0
"(3, 2, 1, 1, 4)",1,907,0.998898678414097
"(3, 4, 3, 3, 3)",46,906,0.9516806722689075
"(2, 3, 1, 1, 3)",18,838,0.9789719626168224
"(3, 3, 1, 1, 4)",0,787,1.0
"(3, 3, 2, 1, 4)",14,733,0.9812583668005355
"(1, 1, 4, 1, 2)",6,721,0.9917469050894085
"(3, 2, 1, 2, 4)",0,696,1.0
"(2, 1, 4, 2, 1)",1,666,0.9985007496251874
"(3, 4, 1, 1, 3)",157,651,0.8056930693069307
"(2, 3, 2, 1, 3)",8,625,0.9873617693522907
"(2, 1, 4, 1, 1)",0,599,1.0
"(3, 3, 3, 1, 4)",8,575,0.9862778730703259
"(1, 1, 2, 1, 2)",3,566,0.9947275922671354
"(1, 2, 1, 1, 2)",4,561,0.9929203539823008
"(2, 1, 4, 4, 4)",68,556,0.8910256410256411
"(1, 2, 2, 1, 1)",0,533,1.0
"(1, 1, 2, 1, 1)",4,498,0.9920318725099602
"(3, 2, 1, 3, 4)",0,494,1.0
"(1, 1, 4, 3, 1)",0,464,1.0
"(1, 3, 2, 1, 1)",0,446,1.0
"(3, 2, 2, 1, 4)",6,445,0.9866962305986696
"(1, 3, 4, 3, 2)",0,426,1.0
"(1, 3, 1, 1, 1)",0,422,1.0
"(4, 4, 1, 1, 3)",164,401,0.7097345132743362
"(3, 4, 2, 1, 3)",108,400,0.7874015748031497
"(2, 4, 3, 3, 2)",1,385,0.9974093264248705
"(1, 3, 4, 2, 2)",0,382,1.0
"(1, 1, 4, 3, 2)",1,382,0.9973890339425587
"(1, 2, 1, 3, 2)",0,370,1.0
"(1, 1, 1, 1, 2)",0,354,1.0
"(1, 1, 4, 2, 1)",0,351,1.0
"(2, 1, 4, 3, 1)",6,346,0.9829545454545454
