combo,benigne,maligne
"(2, 1, 4, 3, 3)",0,4111
"(2, 2, 4, 4, 4)",62,2285
"(1, 2, 1, 1, 1)",0,1680
"(2, 1, 4, 4, 3)",245,1571
"(2, 4, 2, 3, 2)",0,1499
"(3, 4, 3, 4, 3)",25,1070
"(1, 1, 4, 1, 1)",0,918
"(3, 2, 1, 1, 4)",1,907
"(3, 4, 3, 3, 3)",46,906
"(2, 3, 1, 1, 3)",18,838
"(3, 3, 1, 1, 4)",0,787
"(3, 3, 2, 1, 4)",14,733
"(1, 1, 4, 1, 2)",6,721
"(3, 2, 1, 2, 4)",0,696
"(2, 1, 4, 2, 1)",1,666
"(3, 4, 1, 1, 3)",157,651
"(2, 3, 2, 1, 3)",8,625
"(2, 1, 4, 1, 1)",0,599
"(3, 3, 3, 1, 4)",8,575
"(1, 1, 2, 1, 2)",3,566
"(1, 2, 1, 1, 2)",4,561
"(2, 1, 4, 4, 4)",68,556
"(1, 2, 2, 1, 1)",0,533
"(1, 1, 2, 1, 1)",4,498
"(3, 2, 1, 3, 4)",0,494
"(1, 1, 4, 3, 1)",0,464
"(1, 3, 2, 1, 1)",0,446
"(3, 2, 2, 1, 4)",6,445
"(1, 3, 4, 3, 2)",0,426
"(1, 3, 1, 1, 1)",0,422
"(4, 4, 1, 1, 3)",164,401
"(3, 4, 2, 1, 3)",108,400
"(2, 4, 3, 3, 2)",1,385
"(1, 3, 4, 2, 2)",0,382
"(1, 1, 4, 3, 2)",1,382
"(1, 2, 1, 3, 2)",0,370
"(1, 1, 1, 1, 2)",0,354
"(1, 1, 4, 2, 1)",0,351
"(2, 1, 4, 3, 1)",6,346
"(1, 2, 4, 3, 2)",0,341
"(1, 1, 1, 1, 1)",0,327
"(3, 2, 2, 2, 4)",2,315
"(1, 2, 1, 2, 2)",0,313
"(1, 2, 4, 2, 2)",0,311
"(1, 2, 3, 1, 1)",0,305
"(4, 4, 2, 1, 3)",100,279
"(1, 2, 2, 1, 2)",3,268
"(3, 4, 1, 2, 3)",75,264
"(1, 1, 4, 2, 2)",0,264
"(1, 2, 2, 3, 2)",0,231
"(3, 2, 2, 3, 4)",15,223
"(2, 4, 2, 4, 2)",0,213
"(1, 1, 3, 1, 2)",73,202
"(3, 2, 3, 1, 4)",8,198
"(4, 4, 1, 2, 3)",135,193
"(3, 4, 2, 2, 3)",50,185
"(1, 3, 3, 1, 1)",0,184
"(1, 3, 2, 1, 2)",0,175
"(3, 2, 1, 4, 4)",0,171
"(1, 2, 2, 2, 2)",0,171
"(3, 4, 2, 3, 2)",30,170
"(2, 2, 1, 3, 2)",0,168
"(2, 3, 3, 1, 3)",5,161
"(1, 3, 1, 1, 2)",0,152
"(1, 3, 2, 2, 1)",0,149
"(3, 2, 3, 2, 4)",7,148
"(2, 2, 2, 3, 2)",1,141
"(4, 4, 2, 2, 3)",72,133
"(3, 3, 1, 2, 4)",0,130
"(1, 3, 1, 2, 1)",0,128
"(1, 1, 3, 1, 1)",17,126
"(1, 2, 3, 1, 2)",2,122
"(3, 4, 1, 3, 3)",255,121
"(2, 1, 4, 2, 2)",0,121
"(1, 3, 4, 3, 1)",0,108
"(2, 4, 2, 3, 3)",1,105
"(1, 3, 2, 3, 1)",0,104
"(2, 2, 1, 2, 2)",1,103
"(1, 4, 1, 1, 1)",0,101
"(2, 2, 1, 1, 2)",4,100
"(2, 1, 2, 3, 2)",186,100
"(3, 2, 3, 3, 4)",49,99
"(3, 3, 2, 2, 4)",13,95
"(1, 2, 3, 3, 2)",0,93
"(3, 2, 2, 4, 4)",5,93
"(1, 3, 3, 1, 2)",3,86
"(2, 1, 4, 1, 2)",1,86
"(3, 3, 3, 2, 4)",4,86
"(3, 4, 3, 1, 3)",26,85
"(2, 1, 4, 3, 2)",1,85
"(1, 3, 4, 2, 1)",0,83
"(3, 4, 4, 4, 3)",19,83
"(2, 3, 2, 1, 4)",3,79
"(2, 2, 2, 2, 2)",0,79
"(2, 4, 1, 1, 3)",85,79
"(3, 4, 4, 3, 3)",0,75
"(2, 3, 1, 2, 3)",0,75
"(1, 2, 4, 3, 1)",0,74
"(3, 4, 2, 3, 3)",119,74
"(2, 3, 4, 1, 1)",0,71
"(2, 4, 2, 2, 2)",0,71
"(3, 4, 2, 1, 4)",14,70
"(3, 3, 2, 1, 3)",15,70
"(4, 4, 3, 4, 3)",35,70
"(2, 3, 3, 1, 4)",1,69
"(1, 2, 3, 2, 2)",1,68
"(2, 4, 2, 1, 3)",59,67
"(2, 4, 2, 3, 1)",0,67
